,Date,Airline,Number of Delays,Total Flights,Percent Delayed
94,2018-01-06,DL,361.0,1736.0,0.20794930875576037
95,2018-01-06,EV,102.0,560.0,0.18214285714285713
96,2018-01-06,F9,108.0,308.0,0.35064935064935066
97,2018-01-06,G4,31.0,156.0,0.1987179487179487
98,2018-01-06,HA,24.0,214.0,0.11214953271028037
99,2018-01-06,MQ,115.0,640.0,0.1796875
100,2018-01-06,NK,79.0,458.0,0.17248908296943233
101,2018-01-06,OH,202.0,651.0,0.3102918586789555
102,2018-01-06,OO,240.0,1693.0,0.14176018901358536
103,2018-01-06,UA,290.0,1444.0,0.20083102493074792
104,2018-01-06,VX,25.0,152.0,0.16447368421052633
105,2018-01-06,WN,528.0,2892.0,0.1825726141078838
106,2018-01-06,YV,89.0,552.0,0.161231884057971
107,2018-01-06,YX,134.0,691.0,0.1939218523878437
108,2018-01-07,9E,110.0,567.0,0.19400352733686066
109,2018-01-07,AA,601.0,2504.0,0.24001597444089456
110,2018-01-07,AS,44.0,494.0,0.08906882591093117
111,2018-01-07,B6,520.0,793.0,0.6557377049180327
112,2018-01-07,DL,476.0,2352.0,0.20238095238095238
113,2018-01-07,EV,151.0,673.0,0.22436849925705796
114,2018-01-07,F9,105.0,308.0,0.3409090909090909
115,2018-01-07,G4,68.0,296.0,0.22972972972972974
116,2018-01-07,HA,5.0,220.0,0.022727272727272728
117,2018-01-07,MQ,202.0,773.0,0.2613195342820181
118,2018-01-07,NK,76.0,457.0,0.16630196936542668
119,2018-01-07,OH,279.0,731.0,0.3816689466484268
120,2018-01-07,OO,535.0,2072.0,0.2582046332046332
121,2018-01-07,UA,426.0,1596.0,0.2669172932330827
122,2018-01-07,VX,33.0,187.0,0.17647058823529413
123,2018-01-07,WN,841.0,3665.0,0.22946793997271486
124,2018-01-07,YV,95.0,574.0,0.16550522648083624
125,2018-01-07,YX,174.0,818.0,0.21271393643031786
126,2018-01-08,9E,227.0,684.0,0.33187134502923976
127,2018-01-08,AA,441.0,2437.0,0.18096019696347967
128,2018-01-08,AS,52.0,506.0,0.10276679841897234
129,2018-01-08,B6,409.0,831.0,0.49217809867629364
130,2018-01-08,DL,1058.0,2566.0,0.4123148869836321
131,2018-01-08,EV,229.0,688.0,0.3328488372093023
132,2018-01-08,F9,122.0,308.0,0.3961038961038961
133,2018-01-08,G4,88.0,318.0,0.27672955974842767
134,2018-01-08,HA,23.0,212.0,0.10849056603773585
135,2018-01-08,MQ,129.0,773.0,0.16688227684346701
136,2018-01-08,NK,82.0,459.0,0.1786492374727669
137,2018-01-08,OH,226.0,695.0,0.3251798561151079
138,2018-01-08,OO,693.0,2130.0,0.32535211267605635
139,2018-01-08,UA,296.0,1488.0,0.1989247311827957
140,2018-01-08,VX,65.0,191.0,0.3403141361256545
141,2018-01-08,WN,867.0,3596.0,0.2411012235817575
142,2018-01-08,YV,108.0,544.0,0.19852941176470587
143,2018-01-08,YX,184.0,860.0,0.21395348837209302
144,2018-01-09,9E,128.0,646.0,0.19814241486068113
145,2018-01-09,AA,329.0,2246.0,0.1464826357969724
146,2018-01-09,AS,55.0,494.0,0.11133603238866396
147,2018-01-09,B6,288.0,802.0,0.35910224438902744
148,2018-01-09,DL,242.0,2351.0,0.10293492131008082
149,2018-01-09,EV,185.0,682.0,0.27126099706744866
150,2018-01-09,F9,101.0,301.0,0.33554817275747506
151,2018-01-09,G4,7.0,56.0,0.125
152,2018-01-09,HA,14.0,208.0,0.0673076923076923
153,2018-01-09,MQ,115.0,720.0,0.1597222222222222
154,2018-01-09,NK,92.0,454.0,0.2026431718061674
