,year,num_parts,log_parts
2415,1998,4,2.0
2416,1998,8,3.0
2417,1998,85,6.409390936137702
2418,1998,95,6.569855608330948
2419,1998,94,6.554588851677638
2420,1967,45,5.491853096329675
2421,1998,100,6.643856189774724
2422,1998,78,6.285402218862249
2423,1998,101,6.658211482751795
2424,1998,143,7.159871336778389
2425,2012,733,9.517669388133811
2426,2012,24,4.584962500721156
2427,2012,8,3.0
2428,2012,10,3.321928094887362
2429,2012,8,3.0
2430,2012,1,0.0
2431,2012,9,3.169925001442312
2432,2012,9,3.169925001442312
2433,2012,8,3.0
2434,2012,6,2.584962500721156
2435,2012,8,3.0
2436,2012,8,3.0
2437,2012,4,2.0
2438,2012,1,0.0
2439,2012,8,3.0
2440,2012,21,4.392317422778761
2441,2012,18,4.169925001442312
2442,2012,11,3.4594316186372973
2443,2012,11,3.4594316186372973
2444,2012,9,3.169925001442312
2445,2012,12,3.584962500721156
2446,2012,4,2.0
2447,2012,7,2.807354922057604
2448,2012,4,2.0
2449,2012,20,4.321928094887363
2450,2012,9,3.169925001442312
2451,1998,4,2.0
2452,1998,4,2.0
2453,1998,4,2.0
2454,1967,56,5.807354922057604
2455,1998,5,2.321928094887362
2456,1998,5,2.321928094887362
2457,1998,17,4.087462841250339
2458,1981,100,6.643856189774724
2459,1998,14,3.807354922057604
2460,1967,68,6.087462841250339
2461,1998,18,4.169925001442312
2462,1998,17,4.087462841250339
2463,2000,30,4.906890595608519
2464,1967,72,6.169925001442312
2465,2000,25,4.643856189774724
2466,2000,25,4.643856189774724
2467,2000,33,5.044394119358453
2468,2000,10,3.321928094887362
2469,2000,24,4.584962500721156
2470,2000,26,4.700439718141092
2471,2000,8,3.0
2472,2000,23,4.523561956057013
2473,2000,29,4.857980995127572
2474,2000,27,4.754887502163468
2475,1990,245,7.936637939002571
2476,2000,24,4.584962500721156
2477,1967,99,6.6293566200796095
2478,1968,76,6.247927513443585
2479,2011,37,5.20945336562895
2480,2011,164,7.357552004618084
2481,2011,230,7.845490050944375
2482,2011,498,8.960001932068081
2483,1987,225,7.813781191217037
2484,1969,92,6.523561956057013
2485,2003,5,2.321928094887362
2486,1970,74,6.20945336562895
2487,2003,5,2.321928094887362
2488,1979,33,5.044394119358453
2489,2003,4,2.0
2490,2003,6,2.584962500721156
2491,2003,4,2.0
2492,2003,6,2.584962500721156
2493,2003,4,2.0
2494,2003,4,2.0
2495,2003,4,2.0
2496,2003,7,2.807354922057604
2497,2003,5,2.321928094887362
2498,2003,9,3.169925001442312
2499,1973,191,7.577428828035749
2500,1985,220,7.78135971352466
2501,2000,24,4.584962500721156
2502,2000,24,4.584962500721156
2503,1978,277,8.113742166049189
2504,2000,60,5.906890595608519
2505,1968,74,6.20945336562895
2506,2000,80,6.321928094887363
2507,2000,130,7.022367813028454
2508,2000,130,7.022367813028454
2509,2000,130,7.022367813028454
2510,2000,130,7.022367813028454
2511,2000,224,7.807354922057604
2512,2000,293,8.194756854422248
2513,2000,1,0.0
2514,2000,295,8.204571144249204
2515,2000,52,5.700439718141092
2516,1968,123,6.94251450533924
2517,2000,131,7.03342300153745
2518,1979,115,6.845490050944375
2519,2000,24,4.584962500721156
2520,2000,27,4.754887502163468
2521,2000,22,4.459431618637297
2522,2001,67,6.066089190457772
2523,2001,24,4.584962500721156
2524,2001,23,4.523561956057013
2525,2002,387,8.59618975614441
2526,2003,387,8.59618975614441
2527,2002,387,8.59618975614441
2528,2004,387,8.59618975614441
2529,1968,191,7.577428828035749
2530,2002,224,7.807354922057604
2531,2002,110,6.78135971352466
2532,2003,114,6.832890014164741
2533,2002,52,5.700439718141092
2534,2002,36,5.169925001442312
2535,2002,568,9.149747119504681
2536,2002,568,9.149747119504681
2537,2002,131,7.03342300153745
2538,2003,55,5.78135971352466
2539,2003,39,5.285402218862249
2540,2003,82,6.357552004618084
2541,2002,70,6.129283016944966
2542,1968,147,7.199672344836364
2543,2003,186,7.539158811108031
2544,2003,450,8.813781191217037
2545,2003,490,8.936637939002571
2546,1999,93,6.539158811108031
2547,2000,105,6.714245517666122
2548,2003,71,6.149747119504682
2549,1969,77,6.266786540694901
2550,1979,84,6.392317422778761
2551,1998,104,6.700439718141092
2552,2000,25,4.643856189774724
2553,2000,25,4.643856189774724
2554,2000,25,4.643856189774724
2555,2000,25,4.643856189774724
2556,2000,20,4.321928094887363
2557,2000,10,3.321928094887362
2558,2000,2899,11.501339618061397
2559,1969,132,7.044394119358453
2560,2001,575,9.167418145831737
2561,1993,135,7.076815597050831
2562,2000,100,6.643856189774724
2563,2003,100,6.643856189774724
2564,2003,100,6.643856189774724
2565,2000,100,6.643856189774724
2566,2000,100,6.643856189774724
2567,2000,50,5.643856189774724
2568,2003,50,5.643856189774724
2569,2003,50,5.643856189774724
2570,1970,117,6.870364719583405
2571,2000,50,5.643856189774724
2572,1969,167,7.383704292474052
2573,2000,50,5.643856189774724
2574,2000,25,4.643856189774724
2575,2003,25,4.643856189774724
2576,2003,25,4.643856189774724
2577,2000,25,4.643856189774724
2578,2000,25,4.643856189774724
2579,2000,50,5.643856189774724
2580,2003,50,5.643856189774724
2581,2003,50,5.643856189774724
2582,1970,205,7.679480099505446
2583,2000,50,5.643856189774724
2584,1987,330,8.366322214245816
2585,2000,50,5.643856189774724
2586,1979,100,6.643856189774724
2587,2000,50,5.643856189774724
2588,2000,50,5.643856189774724
2589,2000,50,5.643856189774724
2590,2000,50,5.643856189774724
2591,2000,50,5.643856189774724
2592,2000,25,4.643856189774724
2593,2000,25,4.643856189774724
2594,2003,25,4.643856189774724
2595,1971,38,5.247927513443585
2596,2000,25,4.643856189774724
2597,2000,25,4.643856189774724
2598,2000,100,6.643856189774724
2599,2000,100,6.643856189774724
2600,2000,100,6.643856189774724
2601,2000,50,5.643856189774724
2602,2000,50,5.643856189774724
2603,2000,50,5.643856189774724
2604,2000,25,4.643856189774724
2605,2000,25,4.643856189774724
2606,1971,81,6.339850002884624
2607,2000,25,4.643856189774724
2608,2000,100,6.643856189774724
2609,2000,100,6.643856189774724
2610,2000,100,6.643856189774724
2611,2003,100,6.643856189774724
2612,2003,100,6.643856189774724
2613,2003,50,5.643856189774724
2614,2000,50,5.643856189774724
2615,2000,25,4.643856189774724
2616,2003,4,2.0
2617,1971,126,6.977279923499917
2618,1998,26,4.700439718141092
2619,1985,315,8.29920801838728
2620,1998,24,4.584962500721156
2621,1979,134,7.066089190457772
2622,1998,22,4.459431618637297
2623,1998,30,4.906890595608519
2624,1999,23,4.523561956057013
2625,1999,26,4.700439718141092
2626,2001,25,4.643856189774724
2627,2001,20,4.321928094887363
2628,1977,2,1.0
2629,1998,25,4.643856189774724
2630,1971,170,7.409390936137702
2631,1999,39,5.285402218862249
2632,1972,142,7.149747119504682
2633,1999,35,5.129283016944966
2634,2003,4,2.0
2635,2003,4,2.0
2636,1972,153,7.257387842692652
2637,1998,29,4.857980995127572
2638,1998,27,4.754887502163468
2639,2003,68,6.087462841250339
2640,2003,81,6.339850002884624
2641,2003,91,6.507794640198696
2642,2003,196,7.614709844115208
2643,2003,45,5.491853096329675
2644,1972,173,7.434628227636725
2645,2003,46,5.523561956057013
2646,2003,47,5.554588851677638
2647,2003,46,5.523561956057013
2648,2003,153,7.257387842692652
2649,2003,151,7.2384047393250786
2650,2003,19,4.247927513443585
2651,2003,19,4.247927513443585
2652,2003,17,4.087462841250339
2653,2003,17,4.087462841250339
2654,2003,17,4.087462841250339
2655,2003,17,4.087462841250339
2656,1972,332,8.375039431346925
2657,1998,80,6.321928094887363
2658,1981,160,7.321928094887363
2659,1998,126,6.977279923499917
2660,1999,79,6.303780748177103
2661,1999,262,8.03342300153745
2662,2004,33,5.044394119358453
2663,2004,33,5.044394119358453
2664,2004,40,5.321928094887363
2665,2003,15,3.9068905956085187
2666,1973,150,7.22881869049588
2667,2003,15,3.9068905956085187
2668,1987,331,8.370687406807217
2669,2003,16,4.0
2670,2003,15,3.9068905956085187
2671,2003,15,3.9068905956085187
2672,2003,15,3.9068905956085187
2673,2003,15,3.9068905956085187
2674,2003,15,3.9068905956085187
2675,2006,24,4.584962500721156
2676,2006,382,8.57742882803575
2677,2006,199,7.636624620543649
2678,1973,236,7.882643049361842
2679,1998,143,7.159871336778389
2680,2007,9,3.169925001442312
2681,2004,395,8.625708843064466
2682,2004,119,6.894817763307944
