,origin,hold,perc,count,total
158,MDW,MDW,0.303233935,3,4762
159,MEM,MEM,0.133176193,1,1697
160,MFE,MFE,0.128608924,1,381
161,MFR,MFR,0.286343612,2,227
162,MGM,MGM,0.154255319,1,188
163,MHT,MHT,0.112318841,1,552
164,MIA,MIA,0.18629427,1,6946
165,MKE,MKE,0.19831784,1,2259
166,MLB,MLB,0.076923077,0,117
167,MLI,MLI,0.262569832,2,358
168,MLU,MLU,0.109170306,1,229
169,MOB,MOB,0.130750605,1,413
170,MOT,MOT,0.147826087,1,115
171,MQT,MQT,0.344827586,3,29
172,MRY,MRY,0.159090909,1,352
173,MSN,MSN,0.198945982,1,759
174,MSO,MSO,0.073619632,0,163
175,MSP,MSP,0.156743091,1,11471
176,MSY,MSY,0.148388593,1,4313
177,MTJ,MTJ,0.253164557,2,158
178,MYR,MYR,0.126914661,1,457
179,OAJ,OAJ,0.107692308,1,260
180,OAK,OAK,0.144027484,1,3784
181,OGG,OGG,0.1015,1,2000
182,OKC,OKC,0.14513166,1,1633
183,OMA,OMA,0.162654522,1,1537
184,OME,OME,0.081967213,0,61
185,ONT,ONT,0.14461738,1,1542
186,ORD,ORD,0.281615586,2,22481
187,ORF,ORF,0.150224215,1,1338
188,OTH,OTH,0.24,2,25
189,OTZ,OTZ,0.096774194,0,62
190,PBI,PBI,0.241394148,2,2324
191,PDX,PDX,0.112303127,1,4381
192,PHF,PHF,0.045977011,0,87
193,PHL,PHL,0.120901905,1,7717
194,PHX,PHX,0.145652641,1,13951
195,PIA,PIA,0.220095694,2,209
196,PIH,PIH,0.064516129,0,93
197,PIT,PIT,0.159645233,1,3608
198,PLN,PLN,0.270833333,2,48
199,PNS,PNS,0.114049587,1,605
200,PSC,PSC,0.114754098,1,61
201,PSE,PSE,0.25,2,64
202,PSG,PSG,0.181818182,1,55
203,PSP,PSP,0.167084378,1,1197
204,PVD,PVD,0.165732586,1,1249
205,PWM,PWM,0.10989011,1,364
206,RAP,RAP,0.227272727,2,176
207,RDD,RDD,0.211764706,2,85
208,RDM,RDM,0.25,2,176
209,RDU,RDU,0.181086056,1,4346
210,RHI,RHI,0.163934426,1,61
211,RIC,RIC,0.162629758,1,1734
212,RKS,RKS,0.131147541,1,61
213,RNO,RNO,0.146941489,1,1504
214,ROA,ROA,0.147239264,1,163
215,ROC,ROC,0.191747573,1,824
216,ROW,ROW,0.189873418,1,79
217,RST,RST,0.234309623,2,239
218,RSW,RSW,0.183217189,1,3444
219,SAN,SAN,0.148530243,1,7076
220,SAT,SAT,0.117164424,1,3047
221,SAV,SAV,0.173965937,1,822
222,SBA,SBA,0.163672655,1,501
223,SBN,SBN,0.239884393,2,346
224,SBP,SBP,0.2375,2,320
225,SCC,SCC,0.06097561,0,82
226,SCE,SCE,0.066666667,0,60
227,SDF,SDF,0.171684817,1,1561
228,SEA,SEA,0.117945007,1,9674
229,SFO,SFO,0.227250206,2,12110
230,SGF,SGF,0.155172414,1,464
231,SGU,SGU,0.086666667,0,150
232,SHV,SHV,0.156097561,1,410
233,SIT,SIT,0.139534884,1,86
234,SJC,SJC,0.12459844,1,4358
235,SJT,SJT,0.061068702,0,131
236,SJU,SJU,0.213702359,2,2204
237,SLC,SLC,0.139590592,1,9184
238,SMF,SMF,0.118621427,1,3743
239,SNA,SNA,0.123020706,1,3284
240,SPI,SPI,0.203703704,2,54
241,SPS,SPS,0.097560976,0,82
242,SRQ,SRQ,0.194285714,1,525
243,STL,STL,0.195101351,1,4736
244,STT,STT,0.209737828,2,267
