,Month,Airport,Number of Delays,Total Flights,Percent Delayed,Airport Name,Category
381,2,BTM,6.0,52.0,0.11538461538461539,"Butte, MT: Bert Mooney",2
382,2,BTR,99.0,568.0,0.1742957746478873,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",2
383,2,BTV,110.0,635.0,0.1732283464566929,"Burlington, VT: Burlington International",2
384,2,BUF,291.0,1807.0,0.16104039845047038,"Buffalo, NY: Buffalo Niagara International",2
385,2,BUR,399.0,1995.0,0.2,"Burbank, CA: Bob Hope",2
386,2,BWI,1121.0,7447.0,0.15053041493218747,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2
387,2,BZN,100.0,463.0,0.2159827213822894,"Bozeman, MT: Bozeman Yellowstone International",2
388,2,CAE,55.0,387.0,0.1421188630490956,"Columbia, SC: Columbia Metropolitan",2
389,2,CAK,101.0,575.0,0.17565217391304347,"Akron, OH: Akron-Canton Regional",2
390,2,CDC,7.0,48.0,0.14583333333333334,"Cedar City, UT: Cedar City Regional",2
391,2,CDV,6.0,56.0,0.10714285714285714,"Cordova, AK: Merle K Mudhole Smith",2
392,2,CGI,10.0,48.0,0.20833333333333334,"Cape Girardeau, MO: Cape Girardeau Regional",2
393,2,CHA,127.0,591.0,0.21489001692047377,"Chattanooga, TN: Lovell Field",2
394,2,CHO,85.0,422.0,0.2014218009478673,"Charlottesville, VA: Charlottesville Albemarle",2
395,2,CHS,242.0,1546.0,0.15653298835705046,"Charleston, SC: Charleston AFB/International",2
396,2,CID,119.0,681.0,0.17474302496328928,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",2
397,2,CIU,12.0,52.0,0.23076923076923078,"Sault Ste. Marie, MI: Chippewa County International",2
398,2,CKB,7.0,61.0,0.11475409836065574,"Clarksburg/Fairmont, WV: North Central West Virginia",2
399,2,CLE,505.0,3587.0,0.14078617228882073,"Cleveland, OH: Cleveland-Hopkins International",2
400,2,CLL,25.0,170.0,0.14705882352941177,"College Station/Bryan, TX: Easterwood Field",2
401,2,CLT,3014.0,17005.0,0.17724198765069096,"Charlotte, NC: Charlotte Douglas International",2
402,2,CMH,499.0,3255.0,0.1533026113671275,"Columbus, OH: John Glenn Columbus International",2
403,2,CMI,30.0,170.0,0.17647058823529413,"Champaign/Urbana, IL: University of Illinois/Willard",2
404,2,CMX,15.0,56.0,0.26785714285714285,"Hancock/Houghton, MI: Houghton County Memorial",3
405,2,COD,7.0,56.0,0.125,"Cody, WY: Yellowstone Regional",2
406,2,COS,129.0,769.0,0.16775032509752927,"Colorado Springs, CO: City of Colorado Springs Municipal",2
407,2,COU,34.0,178.0,0.19101123595505617,"Columbia, MO: Columbia Regional",2
408,2,CPR,10.0,70.0,0.14285714285714285,"Casper, WY: Casper/Natrona County International",2
409,2,CRP,84.0,396.0,0.21212121212121213,"Corpus Christi, TX: Corpus Christi International",2
410,2,CRW,55.0,345.0,0.15942028985507245,"Charleston/Dunbar, WV: Yeager",2
411,2,CSG,12.0,87.0,0.13793103448275862,"Columbus, GA: Columbus Airport",2
412,2,CVG,596.0,3451.0,0.17270356418429442,"Cincinnati, OH: Cincinnati/Northern Kentucky International",2
413,2,CWA,31.0,203.0,0.15270935960591134,"Mosinee, WI: Central Wisconsin",2
414,2,DAB,40.0,270.0,0.14814814814814814,"Daytona Beach, FL: Daytona Beach International",2
415,2,DAL,1753.0,5394.0,0.324990730441231,"Dallas, TX: Dallas Love Field",4
416,2,DAY,215.0,1019.0,0.21099116781157998,"Dayton, OH: James M Cox/Dayton International",2
417,2,DBQ,20.0,80.0,0.25,"Dubuque, IA: Dubuque Regional",3
418,2,DCA,1747.0,10075.0,0.17339950372208437,"Washington, DC: Ronald Reagan Washington National",2
419,2,DEN,3396.0,16243.0,0.2090746783229699,"Denver, CO: Denver International",2
420,2,DFW,4483.0,20470.0,0.21900341963849537,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2
421,2,DHN,14.0,105.0,0.13333333333333333,"Dothan, AL: Dothan Regional",2
422,2,DLH,36.0,186.0,0.1935483870967742,"Duluth, MN: Duluth International",2
423,2,DRO,64.0,227.0,0.28193832599118945,"Durango, CO: Durango La Plata County",3
424,2,DSM,208.0,1153.0,0.18039895923677363,"Des Moines, IA: Des Moines International",2
425,2,DTW,2033.0,11354.0,0.1790558393517703,"Detroit, MI: Detroit Metro Wayne County",2
426,2,DVL,5.0,48.0,0.10416666666666667,"Devils Lake, ND: Devils Lake Regional",2
427,2,EAU,6.0,54.0,0.1111111111111111,"Eau Claire, WI: Chippewa Valley Regional",2
428,2,ECP,39.0,268.0,0.1455223880597015,"Panama City, FL: Northwest Florida Beaches International",2
429,2,EGE,123.0,388.0,0.3170103092783505,"Eagle, CO: Eagle County Regional",4
430,2,EKO,4.0,50.0,0.08,"Elko, NV: Elko Regional",1
431,2,ELM,5.0,28.0,0.17857142857142858,"Elmira/Corning, NY: Elmira/Corning Regional",2
432,2,ELP,245.0,1158.0,0.21157167530224524,"El Paso, TX: El Paso International",2
433,2,ERI,17.0,79.0,0.21518987341772153,"Erie, PA: Erie International/Tom Ridge Field",2
434,2,ESC,9.0,48.0,0.1875,"Escanaba, MI: Delta County",2
435,2,EUG,46.0,292.0,0.15753424657534246,"Eugene, OR: Mahlon Sweet Field",2
436,2,EVV,53.0,332.0,0.15963855421686746,"Evansville, IN: Evansville Regional",2
437,2,EWN,22.0,133.0,0.16541353383458646,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",2
438,2,EWR,1949.0,10606.0,0.183763907222327,"Newark, NJ: Newark Liberty International",2
439,2,EYW,71.0,438.0,0.16210045662100456,"Key West, FL: Key West International",2
440,2,FAI,27.0,248.0,0.10887096774193548,"Fairbanks, AK: Fairbanks International",2
441,2,FAR,86.0,432.0,0.19907407407407407,"Fargo, ND: Hector International",2
442,2,FAT,114.0,699.0,0.1630901287553648,"Fresno, CA: Fresno Yosemite International",2
