,origin,hold,count
200,PSC,PSC,0.114754098
201,PSE,PSE,0.25
202,PSG,PSG,0.181818182
203,PSP,PSP,0.167084378
204,PVD,PVD,0.165732586
205,PWM,PWM,0.10989011
206,RAP,RAP,0.227272727
207,RDD,RDD,0.211764706
208,RDM,RDM,0.25
209,RDU,RDU,0.181086056
210,RHI,RHI,0.163934426
211,RIC,RIC,0.162629758
212,RKS,RKS,0.131147541
213,RNO,RNO,0.146941489
214,ROA,ROA,0.147239264
215,ROC,ROC,0.191747573
216,ROW,ROW,0.189873418
217,RST,RST,0.234309623
218,RSW,RSW,0.183217189
219,SAN,SAN,0.148530243
220,SAT,SAT,0.117164424
221,SAV,SAV,0.173965937
222,SBA,SBA,0.163672655
223,SBN,SBN,0.239884393
224,SBP,SBP,0.2375
225,SCC,SCC,0.06097561
226,SCE,SCE,0.066666667
227,SDF,SDF,0.171684817
228,SEA,SEA,0.117945007
229,SFO,SFO,0.227250206
230,SGF,SGF,0.155172414
231,SGU,SGU,0.086666667
232,SHV,SHV,0.156097561
233,SIT,SIT,0.139534884
234,SJC,SJC,0.12459844
235,SJT,SJT,0.061068702
236,SJU,SJU,0.213702359
237,SLC,SLC,0.139590592
238,SMF,SMF,0.118621427
239,SNA,SNA,0.123020706
240,SPI,SPI,0.203703704
241,SPS,SPS,0.097560976
242,SRQ,SRQ,0.194285714
243,STL,STL,0.195101351
244,STT,STT,0.209737828
245,STX,STX,0.111111111
246,SUN,SUN,0.02739726
247,SWF,SWF,0.365591398
248,SYR,SYR,0.209988649
249,TLH,TLH,0.109414758
250,TOL,TOL,0.125
251,TPA,TPA,0.17016129
252,TRI,TRI,0.121212121
253,TUL,TUL,0.113653699
254,TUS,TUS,0.120987654
255,TVC,TVC,0.241545894
256,TWF,TWF,0.130841121
257,TXK,TXK,0.091954023
258,TYR,TYR,0.12173913
259,TYS,TYS,0.135990621
260,VLD,VLD,0.093023256
261,VPS,VPS,0.100303951
262,WRG,WRG,0.189655172
263,XNA,XNA,0.175849941
264,YAK,YAK,0.181818182
265,YUM,YUM,0.060869565
