,origin_x,DEP_DEL15_x,DEP_DEL15_y,delayperc
149,LNK,11.0,100,0.11
150,LRD,18.0,181,0.09944751381215469
151,LSE,19.0,137,0.1386861313868613
152,LWS,2.0,64,0.03125
153,MAF,80.0,657,0.121765601217656
154,MBS,27.0,173,0.15606936416184972
155,MCI,553.0,3679,0.15031258494156022
156,MCO,2063.0,11333,0.18203476572840377
157,MDT,74.0,434,0.17050691244239632
158,MDW,1444.0,4762,0.30323393532129356
159,MEM,226.0,1697,0.13317619328226282
160,MFE,49.0,381,0.12860892388451445
161,MFR,65.0,227,0.28634361233480177
162,MGM,29.0,188,0.15425531914893617
163,MHT,62.0,552,0.11231884057971014
164,MIA,1294.0,6946,0.1862942700835013
165,MKE,448.0,2259,0.1983178397521027
166,MLB,9.0,117,0.07692307692307693
167,MLI,94.0,358,0.26256983240223464
168,MLU,25.0,229,0.1091703056768559
169,MOB,54.0,413,0.13075060532687652
170,MOT,17.0,115,0.14782608695652175
171,MQT,10.0,29,0.3448275862068966
172,MRY,56.0,352,0.1590909090909091
173,MSN,151.0,759,0.19894598155467721
174,MSO,12.0,163,0.0736196319018405
175,MSP,1798.0,11471,0.15674309127364658
176,MSY,640.0,4313,0.14838859262694182
177,MTJ,40.0,158,0.25316455696202533
178,MYR,58.0,457,0.12691466083150985
179,OAJ,28.0,260,0.1076923076923077
180,OAK,545.0,3784,0.1440274841437632
181,OGG,203.0,2000,0.1015
182,OKC,237.0,1633,0.1451316595223515
183,OMA,250.0,1537,0.16265452179570591
184,OME,5.0,61,0.08196721311475409
185,ONT,223.0,1542,0.14461738002594035
186,ORD,6331.0,22481,0.2816155864952627
187,ORF,201.0,1338,0.15022421524663676
188,OTH,6.0,25,0.24
189,OTZ,6.0,62,0.0967741935483871
190,PBI,561.0,2324,0.24139414802065404
191,PDX,492.0,4381,0.1123031271399224
192,PHF,4.0,87,0.04597701149425287
193,PHL,933.0,7717,0.12090190488531813
194,PHX,2032.0,13951,0.14565264138771414
195,PIA,46.0,209,0.22009569377990432
196,PIH,6.0,93,0.06451612903225806
197,PIT,576.0,3608,0.15964523281596452
198,PLN,13.0,48,0.2708333333333333
199,PNS,69.0,605,0.1140495867768595
200,PSC,7.0,61,0.11475409836065574
201,PSE,16.0,64,0.25
202,PSG,10.0,55,0.18181818181818182
203,PSP,200.0,1197,0.1670843776106934
204,PVD,207.0,1249,0.16573258606885508
205,PWM,40.0,364,0.10989010989010989
206,RAP,40.0,176,0.22727272727272727
207,RDD,18.0,85,0.21176470588235294
208,RDM,44.0,176,0.25
209,RDU,787.0,4346,0.1810860561435803
210,RHI,10.0,61,0.16393442622950818
211,RIC,282.0,1734,0.16262975778546712
212,RKS,8.0,61,0.13114754098360656
213,RNO,221.0,1504,0.14694148936170212
214,ROA,24.0,163,0.147239263803681
215,ROC,158.0,824,0.19174757281553398
216,ROW,15.0,79,0.189873417721519
217,RST,56.0,239,0.23430962343096234
218,RSW,631.0,3444,0.18321718931475028
219,SAN,1051.0,7076,0.14853024307518373
220,SAT,357.0,3047,0.1171644240236298
221,SAV,143.0,822,0.17396593673965938
222,SBA,82.0,501,0.16367265469061876
223,SBN,83.0,346,0.2398843930635838
224,SBP,76.0,320,0.2375
225,SCC,5.0,82,0.06097560975609756
226,SCE,4.0,60,0.06666666666666667
227,SDF,268.0,1561,0.17168481742472774
228,SEA,1141.0,9674,0.11794500723589002
229,SFO,2752.0,12110,0.2272502064409579
230,SGF,72.0,464,0.15517241379310345
231,SGU,13.0,150,0.08666666666666667
232,SHV,64.0,410,0.15609756097560976
233,SIT,12.0,86,0.13953488372093023
234,SJC,543.0,4358,0.12459843965121616
235,SJT,8.0,131,0.061068702290076333
236,SJU,471.0,2204,0.21370235934664247
237,SLC,1282.0,9184,0.13959059233449478
238,SMF,444.0,3743,0.11862142666310446
239,SNA,404.0,3284,0.12302070645554203
240,SPI,11.0,54,0.2037037037037037
241,SPS,8.0,82,0.0975609756097561
242,SRQ,102.0,525,0.19428571428571428
243,STL,924.0,4736,0.19510135135135134
244,STT,56.0,267,0.20973782771535582
245,STX,9.0,81,0.1111111111111111
246,SUN,2.0,73,0.0273972602739726
247,SWF,34.0,93,0.3655913978494624
248,SYR,185.0,881,0.20998864926220204
249,TLH,43.0,393,0.10941475826972011
250,TOL,8.0,64,0.125
251,TPA,1055.0,6200,0.17016129032258065
252,TRI,20.0,165,0.12121212121212122
253,TUL,149.0,1311,0.11365369946605644
254,TUS,196.0,1620,0.12098765432098765
255,TVC,50.0,207,0.24154589371980675
256,TWF,14.0,107,0.1308411214953271
257,TXK,8.0,87,0.09195402298850575
258,TYR,14.0,115,0.12173913043478261
259,TYS,116.0,853,0.13599062133645956
260,VLD,8.0,86,0.09302325581395349
261,VPS,33.0,329,0.10030395136778116
262,WRG,11.0,58,0.1896551724137931
263,XNA,150.0,853,0.17584994138335286
264,YAK,10.0,55,0.18181818181818182
265,YUM,7.0,115,0.06086956521739131
